Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 11-Feb-2026,Total applicable ELM%
1,360ONE,OTH,3.5,0,3.5
2,360ONE,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABCAPITAL,OTH,3.5,15,18.5
6,ABCAPITAL,OTM,5.25,15,20.25
7,ADANIENSOL,OTH,3.5,0,3.5
8,ADANIENSOL,OTM,5.25,0,5.25
9,ADANIENT,OTH,3.5,0,3.5
10,ADANIENT,OTM,5.25,0,5.25
11,ADANIGREEN,OTH,3.5,0,3.5
12,ADANIGREEN,OTM,5.25,0,5.25
13,ADANIPORTS,OTH,3.5,0,3.5
14,ADANIPORTS,OTM,5.25,0,5.25
15,ALKEM,OTH,3.5,0,3.5
16,ALKEM,OTM,5.25,0,5.25
17,AMBER,OTH,3.5,0,3.5
18,AMBER,OTM,5.25,0,5.25
19,AMBUJACEM,OTH,3.5,0,3.5
20,AMBUJACEM,OTM,5.25,0,5.25
21,ANGELONE,OTH,3.5,0,3.5
22,ANGELONE,OTM,5.25,0,5.25
23,APLAPOLLO,OTH,3.5,0,3.5
24,APLAPOLLO,OTM,5.25,0,5.25
25,APOLLOHOSP,OTH,3.5,0,3.5
26,APOLLOHOSP,OTM,5.25,0,5.25
27,ASHOKLEY,OTH,3.5,0,3.5
28,ASHOKLEY,OTM,5.25,0,5.25
29,ASIANPAINT,OTH,3.5,0,3.5
30,ASIANPAINT,OTM,5.25,0,5.25
31,ASTRAL,OTH,3.5,0,3.5
32,ASTRAL,OTM,5.25,0,5.25
33,AUBANK,OTH,3.5,0,3.5
34,AUBANK,OTM,5.25,0,5.25
35,AUROPHARMA,OTH,3.5,15,18.5
36,AUROPHARMA,OTM,5.25,15,20.25
37,AXISBANK,OTH,3.5,0,3.5
38,AXISBANK,OTM,5.25,0,5.25
39,BAJAJ-AUTO,OTH,3.5,0,3.5
40,BAJAJ-AUTO,OTM,5.25,0,5.25
41,BAJAJFINSV,OTH,3.5,0,3.5
42,BAJAJFINSV,OTM,5.25,0,5.25
43,BAJAJHLDNG,OTH,3.5,0,3.5
44,BAJAJHLDNG,OTM,5.25,0,5.25
45,BAJFINANCE,OTH,3.5,0,3.5
46,BAJFINANCE,OTM,5.25,0,5.25
47,BANDHANBNK,OTH,3.5,15,18.5
48,BANDHANBNK,OTM,5.25,15,20.25
49,BANKBARODA,OTH,3.5,0,3.5
50,BANKBARODA,OTM,5.25,0,5.25
51,BANKINDIA,OTH,3.5,0,3.5
52,BANKINDIA,OTM,5.25,0,5.25
53,BDL,OTH,3.5,0,3.5
54,BDL,OTM,5.25,0,5.25
55,BEL,OTH,3.5,0,3.5
56,BEL,OTM,5.25,0,5.25
57,BHARATFORG,OTH,3.5,0,3.5
58,BHARATFORG,OTM,5.25,0,5.25
59,BHARTIARTL,OTH,3.5,0,3.5
60,BHARTIARTL,OTM,5.25,0,5.25
61,BHEL,OTH,3.5,0,3.5
62,BHEL,OTM,5.25,0,5.25
63,BIOCON,OTH,3.5,0,3.5
64,BIOCON,OTM,5.25,0,5.25
65,BLUESTARCO,OTH,3.5,0,3.5
66,BLUESTARCO,OTM,5.25,0,5.25
67,BOSCHLTD,OTH,3.5,0,3.5
68,BOSCHLTD,OTM,5.25,0,5.25
69,BPCL,OTH,3.5,0,3.5
70,BPCL,OTM,5.25,0,5.25
71,BRITANNIA,OTH,3.5,0,3.5
72,BRITANNIA,OTM,5.25,0,5.25
73,BSE,OTH,3.5,0,3.5
74,BSE,OTM,5.25,0,5.25
75,CAMS,OTH,3.5,0,3.5
76,CAMS,OTM,5.25,0,5.25
77,CANBK,OTH,3.5,0,3.5
78,CANBK,OTM,5.25,0,5.25
79,CDSL,OTH,3.5,0,3.5
80,CDSL,OTM,5.25,0,5.25
81,CGPOWER,OTH,3.5,0,3.5
82,CGPOWER,OTM,5.25,0,5.25
83,CHOLAFIN,OTH,3.5,0,3.5
84,CHOLAFIN,OTM,5.25,0,5.25
85,CIPLA,OTH,3.5,0,3.5
86,CIPLA,OTM,5.25,0,5.25
87,COALINDIA,OTH,3.5,0,3.5
88,COALINDIA,OTM,5.25,0,5.25
89,COFORGE,OTH,3.5,0,3.5
90,COFORGE,OTM,5.25,0,5.25
91,COLPAL,OTH,3.5,0,3.5
92,COLPAL,OTM,5.25,0,5.25
93,CONCOR,OTH,3.5,0,3.5
94,CONCOR,OTM,5.25,0,5.25
95,CROMPTON,OTH,3.5,15,18.5
96,CROMPTON,OTM,5.25,15,20.25
97,CUMMINSIND,OTH,3.5,0,3.5
98,CUMMINSIND,OTM,5.25,0,5.25
99,DABUR,OTH,3.5,0,3.5
100,DABUR,OTM,5.25,0,5.25
101,DALBHARAT,OTH,3.5,0,3.5
102,DALBHARAT,OTM,5.25,0,5.25
103,DELHIVERY,OTH,3.5,0,3.5
104,DELHIVERY,OTM,5.25,0,5.25
105,DIVISLAB,OTH,3.5,0,3.5
106,DIVISLAB,OTM,5.25,0,5.25
107,DIXON,OTH,3.5,0,3.5
108,DIXON,OTM,5.25,0,5.25
109,DLF,OTH,3.5,0,3.5
110,DLF,OTM,5.25,0,5.25
111,DMART,OTH,3.5,0,3.5
112,DMART,OTM,5.25,0,5.25
113,DRREDDY,OTH,3.5,0,3.5
114,DRREDDY,OTM,5.25,0,5.25
115,EICHERMOT,OTH,3.5,0,3.5
116,EICHERMOT,OTM,5.25,0,5.25
117,ETERNAL,OTH,3.5,0,3.5
118,ETERNAL,OTM,5.25,0,5.25
119,EXIDEIND,OTH,3.5,0,3.5
120,EXIDEIND,OTM,5.25,0,5.25
121,FEDERALBNK,OTH,3.5,0,3.5
122,FEDERALBNK,OTM,5.25,0,5.25
123,FORTIS,OTH,3.5,0,3.5
124,FORTIS,OTM,5.25,0,5.25
125,GAIL,OTH,3.5,0,3.5
126,GAIL,OTM,5.25,0,5.25
127,GLENMARK,OTH,3.5,15,18.5
128,GLENMARK,OTM,5.25,15,20.25
129,GMRAIRPORT,OTH,3.5,0,3.5
130,GMRAIRPORT,OTM,5.25,0,5.25
131,GODREJCP,OTH,3.5,0,3.5
132,GODREJCP,OTM,5.25,0,5.25
133,GODREJPROP,OTH,3.5,0,3.5
134,GODREJPROP,OTM,5.25,0,5.25
135,GRASIM,OTH,3.5,0,3.5
136,GRASIM,OTM,5.25,0,5.25
137,HAL,OTH,3.5,0,3.5
138,HAL,OTM,5.25,0,5.25
139,HAVELLS,OTH,3.5,0,3.5
140,HAVELLS,OTM,5.25,0,5.25
141,HCLTECH,OTH,3.5,0,3.5
142,HCLTECH,OTM,5.25,0,5.25
143,HDFCAMC,OTH,3.5,0,3.5
144,HDFCAMC,OTM,5.25,0,5.25
145,HDFCBANK,OTH,3.5,0,3.5
146,HDFCBANK,OTM,5.25,0,5.25
147,HDFCLIFE,OTH,3.5,0,3.5
148,HDFCLIFE,OTM,5.25,0,5.25
149,HEROMOTOCO,OTH,3.5,0,3.5
150,HEROMOTOCO,OTM,5.25,0,5.25
151,HINDALCO,OTH,3.5,0,3.5
152,HINDALCO,OTM,5.25,0,5.25
153,HINDPETRO,OTH,3.5,0,3.5
154,HINDPETRO,OTM,5.25,0,5.25
155,HINDUNILVR,OTH,3.5,0,3.5
156,HINDUNILVR,OTM,5.25,0,5.25
157,HINDZINC,OTH,3.5,0,3.5
158,HINDZINC,OTM,5.25,0,5.25
159,HUDCO,OTH,3.5,0,3.5
160,HUDCO,OTM,5.25,0,5.25
161,ICICIBANK,OTH,3.5,0,3.5
162,ICICIBANK,OTM,5.25,0,5.25
163,ICICIGI,OTH,3.5,0,3.5
164,ICICIGI,OTM,5.25,0,5.25
165,ICICIPRULI,OTH,3.5,0,3.5
166,ICICIPRULI,OTM,5.25,0,5.25
167,IDEA,OTH,3.5,15,18.5
168,IDEA,OTM,5.25,15,20.25
169,IDFCFIRSTB,OTH,3.5,0,3.5
170,IDFCFIRSTB,OTM,5.25,0,5.25
171,IEX,OTH,3.5,0,3.5
172,IEX,OTM,5.25,0,5.25
173,INDHOTEL,OTH,3.5,0,3.5
174,INDHOTEL,OTM,5.25,0,5.25
175,INDIANB,OTH,3.5,0,3.5
176,INDIANB,OTM,5.25,0,5.25
177,INDIGO,OTH,3.5,0,3.5
178,INDIGO,OTM,5.25,0,5.25
179,INDUSINDBK,OTH,3.5,0,3.5
180,INDUSINDBK,OTM,5.25,0,5.25
181,INDUSTOWER,OTH,3.5,15,18.5
182,INDUSTOWER,OTM,5.25,15,20.25
183,INFY,OTH,3.5,0,3.5
184,INFY,OTM,5.25,0,5.25
185,INOXWIND,OTH,3.5,0,3.5
186,INOXWIND,OTM,5.25,0,5.25
187,IOC,OTH,3.5,0,3.5
188,IOC,OTM,5.25,0,5.25
189,IRCTC,OTH,3.5,0,3.5
190,IRCTC,OTM,5.25,0,5.25
191,IREDA,OTH,3.5,0,3.5
192,IREDA,OTM,5.25,0,5.25
193,IRFC,OTH,3.5,0,3.5
194,IRFC,OTM,5.25,0,5.25
195,ITC,OTH,3.5,0,3.5
196,ITC,OTM,5.25,0,5.25
197,JINDALSTEL,OTH,3.5,0,3.5
198,JINDALSTEL,OTM,5.25,0,5.25
199,JIOFIN,OTH,3.5,0,3.5
200,JIOFIN,OTM,5.25,0,5.25
201,JSWENERGY,OTH,3.5,15,18.5
202,JSWENERGY,OTM,5.25,15,20.25
203,JSWSTEEL,OTH,3.5,0,3.5
204,JSWSTEEL,OTM,5.25,0,5.25
205,JUBLFOOD,OTH,3.5,0,3.5
206,JUBLFOOD,OTM,5.25,0,5.25
207,KALYANKJIL,OTH,3.5,0,3.5
208,KALYANKJIL,OTM,5.25,0,5.25
209,KAYNES,OTH,3.5,7,10.5
210,KAYNES,OTM,5.25,10.5,15.75
211,KEI,OTH,3.5,0,3.5
212,KEI,OTM,5.25,0,5.25
213,KFINTECH,OTH,3.5,0,3.5
214,KFINTECH,OTM,5.25,0,5.25
215,KOTAKBANK,OTH,3.5,0,3.5
216,KOTAKBANK,OTM,5.25,0,5.25
217,KPITTECH,OTH,3.5,0,3.5
218,KPITTECH,OTM,5.25,0,5.25
219,LAURUSLABS,OTH,3.5,0,3.5
220,LAURUSLABS,OTM,5.25,0,5.25
221,LICHSGFIN,OTH,3.5,15,18.5
222,LICHSGFIN,OTM,5.25,15,20.25
223,LICI,OTH,3.5,0,3.5
224,LICI,OTM,5.25,0,5.25
225,LODHA,OTH,3.5,0,3.5
226,LODHA,OTM,5.25,0,5.25
227,LT,OTH,3.5,0,3.5
228,LT,OTM,5.25,0,5.25
229,LTF,OTH,3.5,0,3.5
230,LTF,OTM,5.25,0,5.25
231,LTIM,OTH,3.5,0,3.5
232,LTIM,OTM,5.25,0,5.25
233,LUPIN,OTH,3.5,0,3.5
234,LUPIN,OTM,5.25,0,5.25
235,M&M,OTH,3.5,0,3.5
236,M&M,OTM,5.25,0,5.25
237,MANAPPURAM,OTH,3.5,15,18.5
238,MANAPPURAM,OTM,5.25,15,20.25
239,MANKIND,OTH,3.5,0,3.5
240,MANKIND,OTM,5.25,0,5.25
241,MARICO,OTH,3.5,0,3.5
242,MARICO,OTM,5.25,0,5.25
243,MARUTI,OTH,3.5,0,3.5
244,MARUTI,OTM,5.25,0,5.25
245,MAXHEALTH,OTH,3.5,0,3.5
246,MAXHEALTH,OTM,5.25,0,5.25
247,MAZDOCK,OTH,3.5,0,3.5
248,MAZDOCK,OTM,5.25,0,5.25
249,MCX,OTH,3.5,0,3.5
250,MCX,OTM,5.25,0,5.25
251,MFSL,OTH,3.5,0,3.5
252,MFSL,OTM,5.25,0,5.25
253,MOTHERSON,OTH,3.5,0,3.5
254,MOTHERSON,OTM,5.25,0,5.25
255,MPHASIS,OTH,3.5,0,3.5
256,MPHASIS,OTM,5.25,0,5.25
257,MUTHOOTFIN,OTH,3.5,0,3.5
258,MUTHOOTFIN,OTM,5.25,0,5.25
259,NATIONALUM,OTH,3.5,0,3.5
260,NATIONALUM,OTM,5.25,0,5.25
261,NAUKRI,OTH,3.5,0,3.5
262,NAUKRI,OTM,5.25,0,5.25
263,NBCC,OTH,3.5,15,18.5
264,NBCC,OTM,5.25,15,20.25
265,NESTLEIND,OTH,3.5,0,3.5
266,NESTLEIND,OTM,5.25,0,5.25
267,NHPC,OTH,3.5,0,3.5
268,NHPC,OTM,5.25,0,5.25
269,NMDC,OTH,3.5,15,18.5
270,NMDC,OTM,5.25,15,20.25
271,NTPC,OTH,3.5,0,3.5
272,NTPC,OTM,5.25,0,5.25
273,NUVAMA,OTH,3.5,0,3.5
274,NUVAMA,OTM,5.25,0,5.25
275,NYKAA,OTH,3.5,0,3.5
276,NYKAA,OTM,5.25,0,5.25
277,OBEROIRLTY,OTH,3.5,0,3.5
278,OBEROIRLTY,OTM,5.25,0,5.25
279,OFSS,OTH,3.5,0,3.5
280,OFSS,OTM,5.25,0,5.25
281,OIL,OTH,3.5,0,3.5
282,OIL,OTM,5.25,0,5.25
283,ONGC,OTH,3.5,0,3.5
284,ONGC,OTM,5.25,0,5.25
285,PAGEIND,OTH,3.5,0,3.5
286,PAGEIND,OTM,5.25,0,5.25
287,PATANJALI,OTH,3.5,15,18.5
288,PATANJALI,OTM,5.25,15,20.25
289,PAYTM,OTH,3.5,0,3.5
290,PAYTM,OTM,5.25,0,5.25
291,PERSISTENT,OTH,3.5,0,3.5
292,PERSISTENT,OTM,5.25,0,5.25
293,PETRONET,OTH,3.5,15,18.5
294,PETRONET,OTM,5.25,15,20.25
295,PFC,OTH,3.5,0,3.5
296,PFC,OTM,5.25,0,5.25
297,PGEL,OTH,3.5,0,3.5
298,PGEL,OTM,5.25,0,5.25
299,PHOENIXLTD,OTH,3.5,0,3.5
300,PHOENIXLTD,OTM,5.25,0,5.25
301,PIDILITIND,OTH,3.5,0,3.5
302,PIDILITIND,OTM,5.25,0,5.25
303,PIIND,OTH,3.5,0,3.5
304,PIIND,OTM,5.25,0,5.25
305,PNB,OTH,3.5,0,3.5
306,PNB,OTM,5.25,0,5.25
307,PNBHOUSING,OTH,3.5,15,18.5
308,PNBHOUSING,OTM,5.25,15,20.25
309,POLICYBZR,OTH,3.5,0,3.5
310,POLICYBZR,OTM,5.25,0,5.25
311,POLYCAB,OTH,3.5,0,3.5
312,POLYCAB,OTM,5.25,0,5.25
313,POWERGRID,OTH,3.5,0,3.5
314,POWERGRID,OTM,5.25,0,5.25
315,POWERINDIA,OTH,3.5,0,3.5
316,POWERINDIA,OTM,5.25,0,5.25
317,PPLPHARMA,OTH,3.5,0,3.5
318,PPLPHARMA,OTM,5.25,0,5.25
319,PREMIERENE,OTH,3.5,0,3.5
320,PREMIERENE,OTM,5.25,0,5.25
321,PRESTIGE,OTH,3.5,0,3.5
322,PRESTIGE,OTM,5.25,0,5.25
323,RBLBANK,OTH,3.5,15,18.5
324,RBLBANK,OTM,5.25,15,20.25
325,RECLTD,OTH,3.5,0,3.5
326,RECLTD,OTM,5.25,0,5.25
327,RELIANCE,OTH,3.5,0,3.5
328,RELIANCE,OTM,5.25,0,5.25
329,RVNL,OTH,3.5,5.25,8.75
330,RVNL,OTM,5.25,7.88,13.13
331,SAIL,OTH,3.5,15,18.5
332,SAIL,OTM,5.25,15.75,21
333,SAMMAANCAP,OTH,3.5,15,18.5
334,SAMMAANCAP,OTM,5.25,15,20.25
335,SBICARD,OTH,3.5,0,3.5
336,SBICARD,OTM,5.25,0,5.25
337,SBILIFE,OTH,3.5,0,3.5
338,SBILIFE,OTM,5.25,0,5.25
339,SBIN,OTH,3.5,0,3.5
340,SBIN,OTM,5.25,0,5.25
341,SHREECEM,OTH,3.5,0,3.5
342,SHREECEM,OTM,5.25,0,5.25
343,SHRIRAMFIN,OTH,3.5,0,3.5
344,SHRIRAMFIN,OTM,5.25,0,5.25
345,SIEMENS,OTH,3.5,0,3.5
346,SIEMENS,OTM,5.25,0,5.25
347,SOLARINDS,OTH,3.5,0,3.5
348,SOLARINDS,OTM,5.25,0,5.25
349,SONACOMS,OTH,3.5,0,3.5
350,SONACOMS,OTM,5.25,0,5.25
351,SRF,OTH,3.5,0,3.5
352,SRF,OTM,5.25,0,5.25
353,SUNPHARMA,OTH,3.5,0,3.5
354,SUNPHARMA,OTM,5.25,0,5.25
355,SUPREMEIND,OTH,3.5,0,3.5
356,SUPREMEIND,OTM,5.25,0,5.25
357,SUZLON,OTH,3.5,0,3.5
358,SUZLON,OTM,5.25,0,5.25
359,SWIGGY,OTH,3.5,0,3.5
360,SWIGGY,OTM,5.25,0,5.25
361,SYNGENE,OTH,3.5,0,3.5
362,SYNGENE,OTM,5.25,0,5.25
363,TATACONSUM,OTH,3.5,0,3.5
364,TATACONSUM,OTM,5.25,0,5.25
365,TATAELXSI,OTH,3.5,0,3.5
366,TATAELXSI,OTM,5.25,0,5.25
367,TATAPOWER,OTH,3.5,0,3.5
368,TATAPOWER,OTM,5.25,0,5.25
369,TATASTEEL,OTH,3.5,0,3.5
370,TATASTEEL,OTM,5.25,0,5.25
371,TATATECH,OTH,3.5,0,3.5
372,TATATECH,OTM,5.25,0,5.25
373,TCS,OTH,3.5,0,3.5
374,TCS,OTM,5.25,0,5.25
375,TECHM,OTH,3.5,0,3.5
376,TECHM,OTM,5.25,0,5.25
377,TIINDIA,OTH,3.5,0,3.5
378,TIINDIA,OTM,5.25,0,5.25
379,TITAN,OTH,3.5,0,3.5
380,TITAN,OTM,5.25,0,5.25
381,TMPV,OTH,3.5,0,3.5
382,TMPV,OTM,5.25,0,5.25
383,TORNTPHARM,OTH,3.5,0,3.5
384,TORNTPHARM,OTM,5.25,0,5.25
385,TORNTPOWER,OTH,3.5,0,3.5
386,TORNTPOWER,OTM,5.25,0,5.25
387,TRENT,OTH,3.5,0,3.5
388,TRENT,OTM,5.25,0,5.25
389,TVSMOTOR,OTH,3.5,0,3.5
390,TVSMOTOR,OTM,5.25,0,5.25
391,ULTRACEMCO,OTH,3.5,0,3.5
392,ULTRACEMCO,OTM,5.25,0,5.25
393,UNIONBANK,OTH,3.5,0,3.5
394,UNIONBANK,OTM,5.25,0,5.25
395,UNITDSPR,OTH,3.5,0,3.5
396,UNITDSPR,OTM,5.25,0,5.25
397,UNOMINDA,OTH,3.5,0,3.5
398,UNOMINDA,OTM,5.25,0,5.25
399,UPL,OTH,3.5,0,3.5
400,UPL,OTM,5.25,0,5.25
401,VBL,OTH,3.5,0,3.5
402,VBL,OTM,5.25,0,5.25
403,VEDL,OTH,3.5,0,3.5
404,VEDL,OTM,5.25,0,5.25
405,VOLTAS,OTH,3.5,0,3.5
406,VOLTAS,OTM,5.25,0,5.25
407,WAAREEENER,OTH,3.5,0,3.5
408,WAAREEENER,OTM,5.25,0,5.25
409,WIPRO,OTH,3.5,0,3.5
410,WIPRO,OTM,5.25,0,5.25
411,YESBANK,OTH,3.5,0,3.5
412,YESBANK,OTM,5.25,0,5.25
413,ZYDUSLIFE,OTH,3.5,0,3.5
414,ZYDUSLIFE,OTM,5.25,0,5.25
